College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
108,Kongunadu College of Engineering and Technology (Autonomous) Tholurpatti Thottiyam Tiruchirappalli District 621215,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,169.5,155,150.5,159,135.5,139,123,1,1
112,Rajalakshmi Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,189.5,185.5,184.5,182,169,154,147.5,2,1
133,PSG Institute of Technology and Applied Research Avinashi Road Neelambur Coimbatore 641062,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,196,195,195,192.5,178.5,172,161.5,3,1
135,Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185,179.5,168,177,161,170,166.5,4,1
142,Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,193.5,191,190,189.5,177.5,165.51,140,5,1
206,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,191,188,188,186,162,143.5,132,6,1
219,Kathir College of Engineering Neelambur Avinashi Road Coimbatore District 641062,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,139,124.5,128,119,125,130.5,103.5,7,1
315,Dhanalakshmi Srinivasan College of Engineering (CBE) NH47 Palakkad Main Road Navakkarai Post Near Nandhi Temple Coimbatore District 641105,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148,139,140.5,131.5,96,100.5,101.5,8,1
323,Bannari Amman Institute of Technology (Autonomous) Sathyamanagalam Erode District 638401,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,184.5,178,177,176,143,151.5,118,9,1
329,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165.5,159.5,149.5,157,139,153,124,10,1
342,Sri Krishna College of Technology (Autonomous) Kovaipudur Post Coimbatore District 641042,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185,177.5,171,176,145.5,135.5,119.5,11,1
358,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198,197,196,197,188.5,187,175.5,12,1
395,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,,AUTOMOBILE ENGINEERING,190,180.5,188,183,172,163.405,136.5,13,2
412,Bannari Amman Institute of Technology (Autonomous) Sathyamanagalam Erode District 638401,,Artificial Intelligence and Machine Learning,181,175,171.5,170,134.5,111,114,14,3
435,Rajalakshmi Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,,Artificial Intelligence and Machine Learning,186,182.5,181,180,155,148.5,147.5,15,3
617,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,,CIVIL ENGINEERING,178.545,171,164,164,158,142,133,16,4
705,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,CIVIL ENGINEERING,193,190,192,187,183,173.5,177.5,17,4
758,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,CIVIL ENGINEERING,163,153,159,145.5,129.5,126,143,18,4
759,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,CIVIL ENGINEERING,169,162,161,156.5,133.5,125.5,116,19,4
769,Government College of Engineering (Autonomous) Karuppur Salem District 636011,,CIVIL ENGINEERING,166.5,153,155,155.5,145.5,139.5,156,20,4
791,Government College of Engineering Srirangam Sethurappatti Tiruchirappalli District 620012,,CIVIL ENGINEERING,140,118.5,131.5,116,101,130.5,128,21,4
809,Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,,CIVIL ENGINEERING,176,168,170,157,151,140.5,146,22,4
